timestamp,sensor_id_encoded
01-02-2025 00:00,1
01-02-2025 01:00,2
01-02-2025 02:00,0
01-02-2025 03:00,1
01-02-2025 04:00,2
01-02-2025 05:00,2
01-02-2025 06:00,1
01-02-2025 07:00,2
01-02-2025 08:00,0
01-02-2025 09:00,1
01-02-2025 10:00,0
01-02-2025 11:00,1
01-02-2025 12:00,2
01-02-2025 13:00,0
01-02-2025 14:00,0
01-02-2025 15:00,0
01-02-2025 16:00,1
01-02-2025 17:00,1
01-02-2025 18:00,2
01-02-2025 19:00,1
01-02-2025 20:00,2
01-02-2025 21:00,0
01-02-2025 22:00,1
01-02-2025 23:00,2
02-02-2025 00:00,2
02-02-2025 01:00,0
02-02-2025 02:00,2
02-02-2025 03:00,2
02-02-2025 04:00,1
02-02-2025 05:00,0
02-02-2025 06:00,0
02-02-2025 07:00,1
02-02-2025 08:00,2
02-02-2025 09:00,2
02-02-2025 10:00,0
02-02-2025 11:00,1
02-02-2025 12:00,2
02-02-2025 13:00,0
02-02-2025 14:00,2
02-02-2025 15:00,1
02-02-2025 16:00,0
02-02-2025 17:00,0
02-02-2025 18:00,0
02-02-2025 19:00,1
02-02-2025 20:00,1
02-02-2025 21:00,2
02-02-2025 22:00,0
02-02-2025 23:00,0
03-02-2025 00:00,2
03-02-2025 01:00,1
